,countyfips,county_name,state,population,ppl_popdensity,county_beds,total_cases,total_deaths,days_since_case1,days_since_death1,county_hospitalizations,county_testing_rate,cases_wk_before,deaths_wk_before,pcnt_inc_wk10,pcnt_inc_wk11,pcnt_inc_wk12,inc_pov_rate,inc_med_hh,inc_per_cap,jobs_serv,jobs_manu,jobs_agro,jobs_unem,jobs_const,jobs_trans,ppl_ov65_pct,ppl_un18_pct,ppl_nohs_pct,ppl_college_pct,ppl_wht_pct,ppl_hisp_pct,ppl_bl_pct,At_risk
0,1001,Autauga County,Alabama,55869,91.8,173,25,1,23,8,0.28683200000000003,0.017449700000000002,11,1,6.0,0.714286,0.916667,13.4,58343.0,27824.0,41.9086,13.3212,0.605508,3.6,5.13437,7.43613,11.3803,26.78,12.2997,24.964000000000002,77.25,2.4,17.58,0
1,1003,Baldwin County,Alabama,223234,114.65,692,98,0,33,0,0.2814,0.00436716,45,0,3.75,1.2105299999999999,1.0714299999999999,10.1,56607.0,29364.0,45.9202,9.80375,1.02874,3.6,7.60888,4.8354099999999995,12.8459,22.99,9.786610000000001,30.7421,83.5,4.38,9.31,0
2,1005,Barbour County,Alabama,24686,31.03,76,13,0,13,0,0.33755999999999997,0.039492,8,0,0.0,1.5,2.66667,33.4,32490.0,17561.0,33.3183,23.7554,4.22392,5.2,5.6319,6.24014,13.8505,21.91,26.9068,12.0321,46.75,5.05,46.69,0
3,1007,Bibb County,Alabama,22394,36.81,69,19,0,17,0,0.543851,0.0435339,9,0,4.6,1.66667,1.125,20.2,45795.0,20911.0,38.9304,20.5483,0.41610600000000003,4.0,9.16656,5.9478599999999995,10.5697,22.7,17.8637,13.2228,75.02,1.77,21.92,0
4,1009,Blount County,Alabama,57826,88.9,179,17,0,22,0,0.188445,0.0168592,6,0,4.6,1.0,0.6,12.8,48253.0,22021.0,38.2647,14.8129,1.62301,3.5,10.2853,7.3246,10.29,24.61,20.2153,13.102,88.89,8.07,1.26,0
5,1011,Bullock County,Alabama,10101,17.52,31,8,0,21,0,0.507672,0.0965151,6,0,4.6,0.0,3.0,34.4,29113.0,20856.0,31.7949,30.5128,12.2611,4.7,4.63869,3.37995,12.4523,22.26,28.6431,13.4201,21.92,7.12,69.97,0
6,1013,Butler County,Alabama,19448,26.96,60,11,0,22,0,0.362557,0.0501285,6,0,4.6,1.0,3.0,21.3,36842.0,19004.0,39.9508,22.0655,3.4424699999999997,4.8,8.32147,4.60722,12.4255,24.14,18.9497,16.1413,54.06,0.91,43.19,0
7,1015,Calhoun County,Alabama,113605,195.71,352,62,0,29,0,0.349826,0.00858148,14,0,3.5,4.33333,0.291667,17.7,45937.0,23638.0,42.925,16.9185,0.9326469999999999,4.7,6.19725,4.697,11.2131,22.88,16.7825,17.8702,73.61,3.28,20.39,0
8,1017,Chambers County,Alabama,33254,57.36,103,227,8,28,18,4.37562,0.029316700000000005,114,1,6.2,1.83333,1.11765,18.2,36883.0,22002.0,37.6747,28.1751,1.8241900000000002,3.9,5.63089,2.81545,13.1444,22.51,19.1451,13.325999999999999,58.14,1.57,38.6,0
9,1019,Cherokee County,Alabama,26196,46.94,81,10,0,22,0,0.244694,0.0372156,3,0,4.6,2.0,0.5,17.2,44842.0,23010.0,36.4004,24.3648,2.6217200000000003,3.6,7.4299,7.54125,11.0977,21.42,20.482,12.4701,92.07,1.23,4.64,0
10,1021,Chilton County,Alabama,44428,62.99,137,37,0,22,0,0.53383,0.0219433,13,0,4.6,0.818182,0.65,16.8,46405.0,23368.0,35.4682,13.9293,2.09335,3.6,12.5941,7.258839999999999,12.7266,25.11,18.1533,15.0992,81.1,7.84,9.56,0
11,1023,Choctaw County,Alabama,12589,15.17,39,13,0,21,0,0.661927,0.0774405,6,0,4.6,1.0,1.0,23.7,36711.0,20994.0,34.9686,18.4143,8.32365,5.5,7.928389999999999,6.20786,13.5091,22.66,19.9069,11.6414,55.56,0.53,43.22,0
12,1025,Clarke County,Alabama,23622,20.86,73,22,0,15,0,0.596986,0.0412708,11,0,0.0,1.5,1.1,23.3,36719.0,20765.0,35.5855,22.0976,2.4833,7.5,7.12215,6.35321,12.9452,24.73,18.5332,12.9602,53.97,1.05,43.67,0
