,County,State,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14
1,Autauga County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,17.0,25.0,33.0,39.0
2,Baldwin County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,25.0,59.0,102.0,143.0,168.0
3,Barbour County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,30.0,35.0
4,Bibb County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,23.0,33.0,42.0
5,Blount County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,11.0,18.0,31.0,34.0
6,Bullock County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,12.0,12.0
7,Butler County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,19.0,34.0
8,Calhoun County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,54.0,63.0,88.0,90.0
9,Chambers County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,67.0,161.0,234.0,275.0,289.0
10,Cherokee County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,11.0,12.0,14.0
11,Chilton County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,25.0,37.0,47.0,51.0
12,Choctaw County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,13.0,22.0,39.0
13,Clarke County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,24.0,24.0,27.0
14,Clay County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,11.0,14.0,19.0,19.0
15,Cleburne County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,12.0,12.0,12.0,12.0
